OBJECTID,勘查表編號,鄉鎮市區,地段-名,地號,整筆土地面積(㎡),市(國)有持分,使用分區(都市計畫內),疑似占用,清查年度,疑似占用類型,道路編號,村里,道路名稱,案件狀態,備註,附件
78260,市桃園3879(龍祥段0327-0001),桃園區,龍祥段,0327-0001,32.83,1月1日,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
75652,市桃園3824(龍鳳段0940-0007),桃園區,龍鳳段,0940-0007,98.14,340/1000,綠地用地,是,106,1,,龍祥里,無名路,,,
78377,市桃園3865(龍祥段0125-0000),桃園區,龍祥段,0125-0000,1106.47,6383/20000,兒童遊樂場用地,是,106,1, ,龍壽里,龍泉六街,,,
78354,市桃園3907(龍祥段0933-0003),桃園區,龍祥段,0933-0003,1.9,1月1日,道路用地,是,106,1, ,龍祥里,龍祥街,,,
104225,市八德3050(茄明段0967-0001),八德區,茄明段,0967-0001,7.73,1月1日,公園用地,是,110,1,,茄明里,無名路,,,
75629,市桃園4001(雙龍段0363-0000),桃園區,雙龍段,0363-0000,10.66,1月1日,道路用地,是,106,1,,龍山里,龍壽街81巷,,,
78360,市桃園3890(龍祥段0608-0000),桃園區,龍祥段,0608-0000,700.2,325/1000,道路用地,是,106,1, ,龍壽里,龍泉二街,,,
78314,市桃園4003(雙龍段0366-0000),桃園區,雙龍段,0366-0000,835.02,443/1728,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
75658,市桃園3810(龍鳳段0922-0007),桃園區,龍鳳段,0922-0007,335.74,375/1000,道路用地,是,106,1,,龍祥里,國強二街277巷,,,
69870,市八德300(高明段0136-0010),八德區,高明段,0136-0010,204.75,1月1日,道路用地,是,105,1, ,高城里,高城六街,,,
107142,市桃園4202(龍祥段0391-0000),桃園區,龍祥段,0391-0000,30.41,1月1日,道路用地,是,110,1,桃51線,龍山里,龍壽街,,,
69864,市八德278(高城段0937-0001),八德區,高城段,0937-0001,9.2,2月3日,道路用地,是,105,1, ,高城里,高城六街,,,
78323,市桃園4016(雙龍段0526-0000),桃園區,雙龍段,0526-0000,591.04,443/1728,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
78248,市桃園3876(龍祥段0293-0000),桃園區,龍祥段,0293-0000,51.15,4月18日,道路用地,是,106,1, ,龍山里,龍泉五街,,,
78366,市桃園3863(龍祥段0123-0000),桃園區,龍祥段,0123-0000,241.77,43/135,兒童遊樂場用地,是,106,1, ,龍壽里,龍城六街,,,
78317,市桃園4006(雙龍段0369-0000),桃園區,雙龍段,0369-0000,180.36,1月1日,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
75661,市桃園3805(龍鳳段0912-0000),桃園區,龍鳳段,0912-0000,143.7,375/1000,道路用地,是,106,1,,龍祥里,國強二街299巷,,,
78340,市桃園3832(龍鳳段0992-0002),桃園區,龍鳳段,0992-0002,57.41,1611/200000,道路用地,是,106,1, ,龍祥里,國強二街,,,
69804,市八德259(高城段0350-0001),八德區,高城段,0350-0001,4.5,11/75,道路用地,是,105,1, ,茄明里,高城路,,,
68645,市八德270(高城段0609-0000),八德區,高城段,0609-0000,5258.19,64204/960000,道路用地,是,105,1,,高城里,高城二街33巷,,,
107156,市桃園4206(龍祥段0646-0000),桃園區,龍祥段,0646-0000,1781.32,1月1日,兒童遊樂場用地,是,110,1, ,龍祥里,大慶街,,,
69876,市八德308(高明段0146-0010),八德區,高明段,0146-0010,1.13,1月1日,道路用地,是,105,1, ,高城里,高城六街,,,
78254,市桃園3870(龍祥段0201-0000),桃園區,龍祥段,0201-0000,41.63,1月1日,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
69884,市八德268(高城段0575-0000),八德區,高城段,0575-0000,3.94,1月3日,道路用地,是,105,1, ,高城里,高城一街,,,
78303,市桃園3986(龍壽段0818-0001),桃園區,龍壽段,0818-0001,20.76,1月1日,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
107162,市桃園4173(龍鳳段1295-0000),桃園區,龍鳳段,1295-0000,1.04,1月1日,道路用地,是,110,1, ,龍祥里,龍祥街,,,
78346,市桃園3834(龍鳳段0993-0001),桃園區,龍鳳段,0993-0001,113.01,1月4日,道路用地,是,106,1, ,龍祥里,國強二街,,,
78297,市桃園3979(龍壽段0577-0000),桃園區,龍壽段,0577-0000,1021.67,160/256,道路用地,是,106,1,桃51線,龍山里,龍壽街,,,
75641,市桃園3812(龍鳳段0922-0009),桃園區,龍鳳段,0922-0009,5.56,375/1000,道路用地,是,106,1,,龍祥里,無名路,,,
75692,市桃園3913(龍祥段0941-0002),桃園區,龍祥段,0941-0002,7.07,1月1日,人行步道用地,是,106,1,,龍壽里,中山路1332巷,,,
107660,市八德2(高明段0136-0012),八德區,高明段,0136-0012,3.56,1月1日,道路用地,是,112,1, ,高城里,高城六街,,,
107168,國桃園4181(龍祥段0090-0000),桃園區,龍祥段,0090-0000,12.36,1月1日,道路用地,是,110,1, ,龍壽里,龍泉六街,,,
105888,市桃園4175(龍祥段0037-0006),桃園區,龍祥段,0037-0006,308.62,49/50,道路用地,是,110,1,,龍祥里,裕和街17巷,,,
